ObID,Kmday,Porosity
40705,53.9348407722818,0.24
40706,42.2978045819649,0.230833333333333
40707,87.6961468658499,0.258333333333333
40708,0.00954380140505311,0.136666666666667
40709,NaN,NaN
40710,87.6961468658499,0.258333333333333
40711,53.9337620862533,0.24
40712,0.000212006520487066,0.01
40713,65.5109421603373,0.231333333333333
40714,376.97235477403,0.3
40715,0.0184152604900252,0.146666666666667
40716,76.6723002640062,0.255
40717,0.261801316520695,0.121666666666667
40718,NaN,NaN
40719,76.6662945023808,0.255
40720,53.9212688785559,0.24
40721,53.9337620862533,0.24
40722,87.6961468658499,0.258333333333333
40723,87.6961468658499,0.258333333333333
40724,23.7855854457319,0.134444444444444
40725,76.6730669908426,0.255
40726,87.6935890988676,0.258333333333333
40727,87.6952699087662,0.258333333333333
40728,87.6961468658499,0.258333333333333
40729,87.6961468658499,0.258333333333333
40730,65.5109421603373,0.231333333333333
40731,53.5712029661661,0.24
40732,0.261801316520695,0.121666666666667
40733,87.6961468658499,0.258333333333333
40734,53.9337620862533,0.24
40735,87.6961468658499,0.258333333333333
40736,87.6952699087662,0.258333333333333
40737,87.6935890988676,0.258333333333333
40738,53.935335177255,0.24
40739,17.4976817009407,0.258333333333333
40740,NaN,NaN
40741,87.6935890988676,0.258333333333333
40742,42.2978045819649,0.230833333333333
40743,87.6876699813756,0.258333333333333
40744,87.6961468658499,0.258333333333333
40745,NaN,NaN
40746,0.0307185059160899,0.151666666666667
40747,NaN,NaN
40748,76.6730669908426,0.255
40749,87.6876699813756,0.258333333333333
40750,17.4976817009407,0.258333333333333
40751,NaN,NaN
40752,76.6723002640062,0.255
40753,76.6662945023808,0.255
40754,87.6961468658499,0.258333333333333
40755,53.9245491888543,0.24
40756,0.000212006520487066,0.01
40757,53.9329081417808,0.24
40758,53.9337620862533,0.24
40759,53.9348407722818,0.24
40760,53.9337620862533,0.24
40761,76.6710862955294,0.255
40762,0.000762217208285746,0.01
40763,76.6710862955294,0.255
40764,0.0241034244995792,0.160833333333333
40765,23.7855854457319,0.134444444444444
40766,87.6961468658499,0.258333333333333
40767,87.6952699087662,0.258333333333333
40768,NaN,NaN
40769,87.6961468658499,0.258333333333333
40770,53.5712029661661,0.24
40771,53.9348407722818,0.24
40772,65.5109421603373,0.231333333333333
40773,0.000488032115129393,0.01
40774,87.6961468658499,0.258333333333333
40775,0.000212006520487066,0.01
40776,76.6723002640062,0.255
40777,65.5109421603373,0.231333333333333
40778,0.0241034244995792,0.160833333333333
40779,53.9212688785559,0.24
40780,NaN,NaN
40781,76.6723002640062,0.255
40782,53.9337620862533,0.24
40783,76.6395937271177,0.255
40784,87.6961468658499,0.258333333333333
40785,87.6961468658499,0.258333333333333
40786,87.6918352446239,0.258333333333333
40787,NaN,NaN
40788,NaN,NaN
40789,87.6961468658499,0.258333333333333
40790,87.6935890988676,0.258333333333333
40791,0.000762217208285746,0.01
40792,87.6961468658499,0.258333333333333
40793,376.97235477403,0.3
40794,87.6961468658499,0.258333333333333
40795,87.6961468658499,0.258333333333333
40796,0.261801316520695,0.121666666666667
40797,76.673833725346,0.255
40798,0.000391443454718066,0.01
40799,76.6730669908426,0.255
40800,0.261806552599386,0.121666666666667
40801,87.6961468658499,0.258333333333333
40802,87.6961468658499,0.258333333333333
40803,87.6961468658499,0.258333333333333
40804,42.2978045819649,0.230833333333333
40805,NaN,NaN
40806,NaN,NaN
40807,53.9348407722818,0.24
40808,NaN,NaN
40809,53.9337620862533,0.24
40810,0.0192211844713616,0.146666666666667
40811,NaN,NaN
40812,NaN,NaN
40813,0.000212006520487066,0.01
40814,NaN,NaN
40815,0.000470618543771302,0.01
40816,53.9348407722818,0.24
40817,0.00987963146110771,0.136666666666667
40818,0.0307185059160899,0.151666666666667
40819,0.000470618543771302,0.01
40820,23.7855854457319,0.134444444444444
40821,23.7855854457319,0.134444444444444
40822,53.9337620862533,0.24
40823,87.6961468658499,0.258333333333333
40824,53.9295374403573,0.24
40825,53.9348407722818,0.24
40826,0.0192211844713616,0.146666666666667
40827,87.6961468658499,0.258333333333333
40828,87.6961468658499,0.258333333333333
40829,0.0498924654784595,0.167777777777778
40830,65.5109421603373,0.231333333333333
40831,65.5109421603373,0.231333333333333
40832,0.000470618543771302,0.01
40833,65.5109421603373,0.231333333333333
40834,53.9348407722818,0.24
40835,0.0251333954006001,0.133333333333333
40836,87.6961468658499,0.258333333333333
40837,87.6961468658499,0.258333333333333
40838,76.6710862955294,0.255
40839,53.9337620862533,0.24
40840,42.2978045819649,0.230833333333333
40841,76.6662945023808,0.255
40842,87.6961468658499,0.258333333333333
40843,53.9348407722818,0.24
40844,87.6961468658499,0.258333333333333
40845,53.9329081417808,0.24
40846,4.88032115129391e-05,0.01
40847,0.0241034244995792,0.160833333333333
40848,76.6710862955294,0.255
40849,87.6961468658499,0.258333333333333
40850,87.6961468658499,0.258333333333333
40851,87.6961468658499,0.258333333333333
40852,87.6961468658499,0.258333333333333
40853,NaN,NaN
40854,NaN,NaN
40855,0.00987963146110771,0.136666666666667
40856,0.391724298998363,0.121666666666667
40857,87.6952699087662,0.258333333333333
